Tx1,Tx2,Tx3,Position_Label,Coordinate_Hint
-24,-49,-41,P1,"(0.35, 0.35)"
-23,-50,-42,P1,"(0.35, 0.35)"
-24,-49,-41,P1,"(0.35, 0.35)"
-24,-49,-42,P1,"(0.35, 0.35)"
-24,-50,-41,P1,"(0.35, 0.35)"
-24,-49,-41,P1,"(0.35, 0.35)"
-24,-49,-42,P1,"(0.35, 0.35)"
-24,-49,-41,P1,"(0.35, 0.35)"
-24,-50,-41,P1,"(0.35, 0.35)"
-24,-49,-42,P1,"(0.35, 0.35)"
-24,-50,-41,P1,"(0.35, 0.35)"
-24,-48,-42,P1,"(0.35, 0.35)"
-24,-50,-41,P1,"(0.35, 0.35)"
-24,-50,-41,P1,"(0.35, 0.35)"
-24,-49,-42,P1,"(0.35, 0.35)"
-24,-50,-42,P1,"(0.35, 0.35)"
-24,-49,-43,P1,"(0.35, 0.35)"
-24,-48,-41,P1,"(0.35, 0.35)"
-24,-49,-41,P1,"(0.35, 0.35)"
-23,-48,-42,P1,"(0.35, 0.35)"
-23,-48,-49,P1,"(0.35, 0.35)"
-24,-49,-42,P1,"(0.35, 0.35)"
-24,-48,-42,P1,"(0.35, 0.35)"
-24,-49,-41,P1,"(0.35, 0.35)"
-23,-49,-41,P1,"(0.35, 0.35)"
-24,-48,-41,P1,"(0.35, 0.35)"
-23,-47,-42,P1,"(0.35, 0.35)"
-23,-47,-41,P1,"(0.35, 0.35)"
-24,-47,-41,P1,"(0.35, 0.35)"
-24,-48,-42,P1,"(0.35, 0.35)"
-23,-46,-42,P1,"(0.35, 0.35)"
-23,-44,-42,P1,"(0.35, 0.35)"
-24,-46,-42,P1,"(0.35, 0.35)"
-24,-47,-42,P1,"(0.35, 0.35)"
-24,-48,-40,P1,"(0.35, 0.35)"
-24,-48,-43,P1,"(0.35, 0.35)"
-24,-48,-43,P1,"(0.35, 0.35)"
-24,-48,-43,P1,"(0.35, 0.35)"
-23,-48,-41,P1,"(0.35, 0.35)"
-23,-46,-42,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-23,-46,-41,P1,"(0.35, 0.35)"
-24,-48,-42,P1,"(0.35, 0.35)"
-23,-40,-43,P1,"(0.35, 0.35)"
-23,-40,-43,P1,"(0.35, 0.35)"
-24,-39,-44,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-44,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-23,-39,-42,P1,"(0.35, 0.35)"
-24,-40,-43,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-23,-40,-42,P1,"(0.35, 0.35)"
-24,-35,-42,P1,"(0.35, 0.35)"
-24,-35,-42,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-23,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-43,P1,"(0.35, 0.35)"
-24,-40,-43,P1,"(0.35, 0.35)"
-24,-40,-42,P1,"(0.35, 0.35)"
-24,-40,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-40,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-23,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
-23,-40,-41,P1,"(0.35, 0.35)"
-24,-39,-41,P1,"(0.35, 0.35)"
-24,-39,-42,P1,"(0.35, 0.35)"
